H-index,Name,Organization,Gender,Award and Membership
78,David A. Patterson,Berkeley,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering| IEEE Technical Achievement Award 
78,Jie Wu,Temple U,Male,IEEE Fellow 
78,Mihalis Yannakakis,Columbia,Male,ACM Fellow| Member of the National Academy of Engineering 
77,Thomas S. Huang,UIUC,Male,IEEE Fellow| Member of the National Academy of Engineering 
77,Henning Schulzrinne,Columbia,Male,ACM Fellow 
77,Lixia Zhang,UCLA,Female,ACM Fellow 
76,Oren Etzioni,Allen Institute for AI,Male,NA
76,Richard Szeliski,Microsoft,Male,ACM Fellow 
75,Ken Kennedy,Rice U,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
75,Rajeev Motwani,Stanford,Male,ACM Fellow 
75,Mubarak Shah,U Central Florida,Male,IEEE Fellow| AAAS Fellow| IAPR Fellow| SPIE Fellow 
75,Witold Pedrycz,U Alberta,Male,IEEE Fellow 
75,Zhi-Hua Zhou,Nanjing U,Male,AAAI Fellow| IEEE Fellow| IAPR Fellow 
74,W. Bruce Croft,U Mass| Amherst,Male,ACM Fellow 
74,Fred Glover,U Colorado,Male,NA
74,Andrew B. Kahng,UCSD,Male,ACM Fellow| IEEE Fellow 
74,Donald E. Knuth,Stanford,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| SIAM Fellow| Member of the American Academy of Arts & Sciences 
74,Michael Lyu,The Chinese U of Hong Kong,Male,NA
74,Hans-Peter Seidel,Max Planck,Male,NA
74,Barry Smith,SUNY Buffalo,Male,NA
74,Gene Tsudik,UC Irvine,Male,ACM Fellow| IEEE Fellow 
73,Andrew Blake,Microsoft,Male,Fellow of the Royal Society 
73,John M. Carroll,Penn State U,Male,NA
73,Sajal K. Das,Missouri University of Science and Tech,Male,IEEE Fellow| IEEE Technical Achievement Award 
73,Pascal Fua,EPFL,Male,IEEE Fellow 
73,Ian Horrocks,Oxford U,Male,Fellow of the Royal Society 
73,Robert Kraut,CMU,Male,ACM Fellow 
73,Giovanni De Micheli,EPFL,Male,ACM Fellow| IEEE Fellow 
73,Biswanath Mukherjee,UC Davis,Male,NA
73,Klara Nahrstedt,UIUC,Male,ACM Fellow| IEEE Fellow| IEEE Technical Achievement Award 
73,Burkhard Rost,TU Munich,Male,NA
72,Rajeev Alur,U Penn,Male,ACM Fellow| IEEE Fellow 
72,Nicholas Ayache,INRIA,Male,Member of the French Academy of Sciences 
72,Ronald Fagin,IBM Almaden,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| ACM SIGMOD Edgar F. Codd Innovations Award| IEEE Technical Achievement Award| IEEE W. Wallace McDowell Award| G??del Prize| Member of the American Academy of Arts and Sciences| Member of the National Academy of Engineering 
72,Christian S. Jensen,Aalborg U,Male,ACM Fellow| IEEE Fellow 
72,Nancy Lynch,MIT,Female,ACM Fellow| Member of the National Academy of Engineering 
72,Alexander J. Smola,CMU,Male,NA
71,Monica S. Lam,Stanford,Female,ACM Fellow 
71,Thomas W. Reps,U Wisconsin,Male,ACM Fellow 
71,Azriel Rosenfeld,U Maryland,Male,ACM Fellow 
71,Stefan Savage,UCSD,Male,ACM Fellow| ACM Infosys Foundation Award 
71,Demetri Terzopoulos,UCLA,Male,ACM Fellow| IEEE Fellow| Member of the European Academy of Sciences| FRSC 
71,Ronald Yager,Iona College,Male,IEEE Fellow 
70,Richard Baraniuk,Rice U,Male,IEEE Fellow| AAAS Fellow 
70,Andrew Campbell,Dartmouth,Male,NA
70,Jason Cong,UCLA,Male,ACM Fellow| IEEE Fellow 
