Rank,Name,Net Worth,Age,Residence,Source,Gender
309,E. Joe Shoen,2.3 B,67,Phoenix  AZ,U-Haul,Male
309,Thomas Siebel,2.3 B,64,Woodside  CA,business software,Male
309,Jon Stryker,2.3 B,58,Kalamazoo  MI,medical equipment,Male
309,Meg Whitman,2.3 B,60,Atherton  CA,eBay,Female
321,Scott Cook,2.2 B,64,Woodside  CA,software,Male
321,Jim Davis,2.2 B,56,Cockeysville  MD,staffing & recruiting,Male
321,Judy Faulkner,2.2 B,73,Madison  WI,health IT,Female
321,John Fisher,2.2 B,55,San Francisco  CA,Gap,Male
321,Rakesh Gangwal,2.2 B,63,Miami  FL,airline,Male
321,Stanley Hubbard,2.2 B,83,St. Paul  MN,DirecTV,Male
321,Brad Kelley,2.2 B,59,Franklin  TN,tobacco,Male
321,Joe Mansueto,2.2 B,60,Chicago  IL,investment research,Male
321,Stewart Rahr,2.2 B,70,New York  NY,drug distribution,Male
321,Jeff Rothschild,2.2 B,61,Los Altos  CA,Facebook,Male
321,Paul Singer,2.2 B,72,NA,hedge funds,Male
321,Ted Turner,2.2 B,78,Atlanta  GA,cable television,Male
321,John Tyson,2.2 B,63,Springdale  AR,food processing,Male
321,Jerry Yang,2.2 B,48,Los Altos Hills  CA,Yahoo,Male
335,S. Daniel Abraham,2.1 B,92,Palm Beach  FL,Slim-Fast,Male
335,George Argyros,2.1 B,79,Newport Beach  CA,real estate  investments,Male
335,Ron Baron,2.1 B,73,New York  NY,money management,Male
335,Nick Caporella,2.1 B,80,Plantation  FL,beverages,Male
335,James Coulter,2.1 B,57,San Francisco  CA,private equity,Male
335,Gerald Ford,2.1 B,72,Dallas  TX,banking,Male
335,Gordon Getty,2.1 B,82,San Francisco  CA,Getty Oil,Male
335,Alec Gores,2.1 B,63,Beverly Hills  CA,private equity,Male
335,Joseph Grendys,2.1 B,55,Chicago  IL,poultry,Male
335,John Kapoor,2.1 B,73,Phoenix  AZ,healthcare,Male
335,Thomas Lee,2.1 B,72,New York  NY,private equity,Male
335,Jeffrey Lorberbaum,2.1 B,62,Chattanooga  TN,flooring,Male
335,Arturo Moreno,2.1 B,70,Phoenix  AZ,billboards  Anaheim Angels,Male
335,Daniel Pritzker,2.1 B,57,Marin County  CA,hotels  investments,Male
335,Dan Snyder,2.1 B,52,Potomac  MD,Washington Redskins,Male
335,Evan Spiegel,2.1 B,26,Los Angeles  CA,Snapchat,Male
335,Ronald Wanek,2.1 B,75,Saint Petersburg  FL,furniture,Male
335,William Young,2.1 B,75,Ypsilanti  MI,plastics,Male
353,Todd Christopher,2 B,54,Clearwater  FL,hair care products,Male
353,Chase Coleman  III.,2 B,41,New York  NY,hedge fund,Male
353,James Dinan,2 B,57,New York  NY,hedge funds,Male
353,Glenn Dubin,2 B,59,New York  NY,hedge funds,Male
353,James France,2 B,72,Daytona Beach  FL,Nascar  racing,Male
353,Jonathan Nelson,2 B,60,Providence  RI,private equity,Male
353,Peter Peterson,2 B,90,New York  NY,investments,Male
353,David Walentas,2 B,78,New York  NY,real estate,Male
361,Leslie Alexander,1.9 B,73,Houston  TX,Houston Rockets,Male
361,James Clark,1.9 B,72,Palm Beach  FL,Netscape  investments,Male
361,Frank Fertitta  III.,1.9 B,54,Las Vegas  NV,casinos  Ultimate Fighting Championship,Male
361,Lorenzo Fertitta,1.9 B,47,Las Vegas  NV,casinos  Ultimate Fighting Championship,Male
