Rank,Name,Net Worth,Age,Source,Gender
226,Xu Xiong,$1.37 B,44,driving training,Male
230,Shao Zhongyi,$1.36 B,48,soybean trading,Male
231,Wu Xushun,$1.34 B,68,internet  auto parts,Male
232,Liu Yiqian,$1.33 B,53,investments,Male
233,Hua Yong,$1.32 B,52,software,Male
233,Yan Xijun,$1.32 B,63,pharmaceuticals,Male
233,Zhang Zhangsun,$1.32 B,59,real estate,Male
236,Chen Ningning,$1.31 B,45,minerals,Female
236,Ou Zongrong,$1.31 B,52,real estate,Male
238,Chen Jinshi,$1.3 B,54,construction & real estate,Male
238,Don Gao,$1.3 B,51,power tools,Male
238,Liu Fuhai,$1.3 B,62,Textile & New energy,Male
238,Wang Haipeng,$1.3 B,45,packaging products,Male
238,Wen Pengcheng,$1.3 B,54,agribusiness,Male
238,Zhang Desheng,$1.3 B,67,manufacturing,Male
238,Zhang Xinghai,$1.3 B,53,machinery,Male
238,Zheng Jianjiang,$1.3 B,55,electrical equipment,Male
246,Ding Xinxin,$1.29 B,58,construction,Male
246,Li Fucheng,$1.29 B,70,agribusiness,Male
246,Nan Cunhui,$1.29 B,53,electrical power equipment,Male
249,Cai Wensheng,$1.28 B,46,Internet,Male
249,Lu Di,$1.28 B,NA,drones,Male
249,Ru Jiyong,$1.28 B,43,home  office products,Male
249,Wang Jianfeng,$1.28 B,46,auto parts,Male
249,Wen Yibo,$1.28 B,51,wastewater treatment,Male
254,Huang Qisen,$1.27 B,51,real estate,Male
254,Ruan Shuilong,$1.27 B,81,chemicals,Male
254,Sun Yinhuan,$1.27 B,NA,Real Estate,Male
254,Zhang Xiugen,$1.27 B,55,Automobile,Male
258,Li Fuchao,$1.26 B,58,auto parts,Male
258,Liang Guangwei,$1.26 B,53,batteries  mini motors,Male
258,Wu Zhonglin,$1.26 B,49,Ultra Broadband,Male
258,Zeng Kaitian,$1.26 B,41,online games,Male
258,Zhang Zhongneng,$1.26 B,53,aluminum,Male
263,Hu Baifan,$1.25 B,54,vitamins  pharmaceuticals,Male
263,Li Zongsong,$1.25 B,49,pharmaceuticals,Male
263,Liu Zhenguo,$1.25 B,51,sewage treatment,Male
263,Meng Qingnan,$1.25 B,58,telecommunications,Male
267,He Yamin,$1.24 B,59,manufacturing,Male
268,Zhu Wenchen,$1.23 B,50,pharmaceuticals,Male
269,Fan Zhaoxia,$1.22 B,49,photovoltaic equipment,Female
270,Li Rucheng,$1.21 B,65,apparel,Male
271,Chen Xiaoying,$1.2 B,40,logistics,Female
271,Cheung Yan,$1.2 B,59,paper,Female
271,Chu Jinfu,$1.2 B,59,electrical equipment,Male
271,Cui Genliang,$1.2 B,58,electric components,Male
271,Gao Yugen,$1.2 B,50,manufacturing,Male
271,Li Denghai,$1.2 B,67,seed production,Male
271,Shen Xiaoping,$1.2 B,53,Tele-equipment,Male
271,Wu Lanlan,$1.2 B,42,packaging,Female
271,Yang Jianxin,$1.2 B,47,apparel,Male
271,Yao Liangsong,$1.2 B,52,furniture,Male
271,Yu Peidi,$1.2 B,56,real estate,Male
271,Zeng Wanhui,$1.2 B,46,technology,Male
271,Zhang Wanzhen,$1.2 B,67,advanced ceramics,Male
271,Zhang Zhirong,$1.2 B,48,real estate  shipbuilding,Male
271,Zhou Yunjie,$1.2 B,55,containers & packaging,Male
286,Lam Lung On & wife,$1.19 B,52,Real Estate,Male
286,Shen Ya,$1.19 B,45,online apparel retail,Male
286,Zhuang Min,$1.19 B,48,surveillance equipment,Male
289,Wang Wenliang,$1.18 B,61,shipping ports,Male
289,Zhou Yifeng,$1.18 B,38,liquefied petroleum gas,Female
291,Hon Kwok Lung,$1.17 B,61,real estate,Male
291,Lin Zhong,$1.17 B,48,real estate,Male
291,Jane Yan,$1.17 B,47,software,Female
294,Jiang Xuefei,$1.16 B,47,printed circuit board service,Male
294,Lin Yi,$1.16 B,NA,real estate,Male
294,Pan Weiming,$1.16 B,52,real estate,Male
294,Su Weizhong,$1.16 B,48,oil  fertilizers,Male
294,Xia Dinghu,$1.16 B,72,auto parts,Male
294,Zhang Daocai,$1.16 B,66,valves,Male
300,Liu Shaoxi,$1.15 B,53,real estate,Male
300,Xiao Chunhong,$1.15 B,48,real estate,Male
